,days_until_funded,funded_amount,terms_disbursal_amount,loan_amount,repayment_term,contains_old,contains_improve,contains_help,contains_buy,contains_loan,negative_sentiment,positive_sentiment,overall_positive,description_length,is_female,is_bulgaria,is_iraq,is_zambia,is_thailand,is_health,is_ed,is_arts,is_agriculture,is_food,is_housing,african,asian,north_american,south_american,european,paid,refunded,defaulted,in_repayment
12577,0,250,10000.0,250,8,1,0,0,1,1,4,3,0,67,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12578,0,500,20000.0,500,7,1,0,0,0,1,5,5,0,73,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12579,7,625,53156.0,625,14,1,0,0,1,1,4,3,0,66,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12580,0,700,28000.0,700,8,0,0,0,1,0,4,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12581,0,1000,1000.0,1000,9,0,1,0,1,1,6,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12582,0,6000,5990.0,6000,5,1,0,1,1,1,2,4,1,82,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12583,0,225,100000.0,225,15,1,0,0,1,1,5,5,0,103,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12584,1,1250,10000.0,1250,10,0,0,0,1,0,5,1,0,145,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12585,0,1125,2000000.0,1125,15,0,0,1,1,1,4,2,0,112,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
12586,0,450,800000.0,450,15,1,0,1,1,1,5,4,0,178,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
12587,0,2475,20000.0,2475,9,0,0,0,0,0,3,3,0,110,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12588,0,1875,15000.0,1875,12,0,0,0,0,1,5,4,0,132,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12589,0,200,8000.0,200,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12590,11,575,1000000.0,575,14,0,0,0,1,1,6,2,0,155,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
12591,8,500,42727.5,500,14,1,0,1,1,1,3,7,1,85,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12592,0,725,29000.0,725,7,1,0,0,1,1,4,4,0,79,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12593,12,1000,84442.5,1000,14,0,0,1,1,1,3,5,1,82,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
